umaban	ketto	rank	score	generated_at	model	odds_score
1	2020106108	9	-0.673003733158112	2026-08-15 20:31:18.194008+00:00	iter12-nar-xgb-hpo-v8-stage1-marketfree-184	0.5048
2	2022100137	8	-0.531288027763367	2026-08-15 20:31:18.194008+00:00	iter12-nar-xgb-hpo-v8-stage1-marketfree-184	0.5048
3	2022100821	2	0.177415102720261	2026-08-15 20:31:18.194008+00:00	iter12-nar-xgb-hpo-v8-stage1-marketfree-184	0.5048
4	2022101512	7	-0.469106465578079	2026-08-15 20:31:18.194008+00:00	iter12-nar-xgb-hpo-v8-stage1-marketfree-184	0.5048
5	2021102169	6	-0.242283463478088	2026-08-15 20:31:18.194008+00:00	iter12-nar-xgb-hpo-v8-stage1-marketfree-184	0.5048
6	2017105759	4	0.0223609823733568	2026-08-15 20:31:18.194008+00:00	iter12-nar-xgb-hpo-v8-stage1-marketfree-184	0.5048
7	2022101726	1	0.184837743639946	2026-08-15 20:31:18.194008+00:00	iter12-nar-xgb-hpo-v8-stage1-marketfree-184	0.5048
8	2022107176	5	-0.0690544694662094	2026-08-15 20:31:18.194008+00:00	iter12-nar-xgb-hpo-v8-stage1-marketfree-184	0.5048
9	2020101804	3	0.05551628023386	2026-08-15 20:31:18.194008+00:00	iter12-nar-xgb-hpo-v8-stage1-marketfree-184	0.5048
