umaban	ketto	rank	score	generated_at	model	odds_score
1	2022103030	3	0.633508801460266	2026-08-15 20:31:32.933914+00:00	iter12-nar-xgb-hpo-v8-stage1-marketfree-184	0.5048
2	2022102471	12	-2.03363418579102	2026-08-15 20:31:32.933914+00:00	iter12-nar-xgb-hpo-v8-stage1-marketfree-184	0.5048
3	2023101833	5	0.0559020787477493	2026-08-15 20:31:32.933914+00:00	iter12-nar-xgb-hpo-v8-stage1-marketfree-184	0.5048
4	2023102839	9	-0.766370534896851	2026-08-15 20:31:32.933914+00:00	iter12-nar-xgb-hpo-v8-stage1-marketfree-184	0.5048
5	2022106549	7	-0.557443857192993	2026-08-15 20:31:32.933914+00:00	iter12-nar-xgb-hpo-v8-stage1-marketfree-184	0.5048
6	2023109173	11	-1.02069163322449	2026-08-15 20:31:32.933914+00:00	iter12-nar-xgb-hpo-v8-stage1-marketfree-184	0.5048
7	2022104483	6	-0.402196377515793	2026-08-15 20:31:32.933914+00:00	iter12-nar-xgb-hpo-v8-stage1-marketfree-184	0.5048
8	2022104520	8	-0.718497037887573	2026-08-15 20:31:32.933914+00:00	iter12-nar-xgb-hpo-v8-stage1-marketfree-184	0.5048
9	2022101428	4	0.233409389853477	2026-08-15 20:31:32.933914+00:00	iter12-nar-xgb-hpo-v8-stage1-marketfree-184	0.5048
10	2023106493	1	1.09092473983765	2026-08-15 20:31:32.933914+00:00	iter12-nar-xgb-hpo-v8-stage1-marketfree-184	0.5048
11	2021103856	10	-0.81621927022934	2026-08-15 20:31:32.933914+00:00	iter12-nar-xgb-hpo-v8-stage1-marketfree-184	0.5048
12	2022106600	2	0.640104234218597	2026-08-15 20:31:32.933914+00:00	iter12-nar-xgb-hpo-v8-stage1-marketfree-184	0.5048
