umaban	ketto	rank	score	generated_at	model	odds_score
1	2023103070	9	0.0696549564599991	2026-08-15 20:31:20.921879+00:00	iter12-nar-xgb-hpo-v8-stage1-marketfree-184	0.5048
2	2023104354	2	0.914349317550659	2026-08-15 20:31:20.921879+00:00	iter12-nar-xgb-hpo-v8-stage1-marketfree-184	0.5048
3	2023100951	6	0.568659782409668	2026-08-15 20:31:20.921879+00:00	iter12-nar-xgb-hpo-v8-stage1-marketfree-184	0.5048
4	2023100152	10	-0.631931364536285	2026-08-15 20:31:20.921879+00:00	iter12-nar-xgb-hpo-v8-stage1-marketfree-184	0.5048
5	2023102797	4	0.695938587188721	2026-08-15 20:31:20.921879+00:00	iter12-nar-xgb-hpo-v8-stage1-marketfree-184	0.5048
6	2023103372	8	0.271612048149109	2026-08-15 20:31:20.921879+00:00	iter12-nar-xgb-hpo-v8-stage1-marketfree-184	0.5048
7	2023102982	3	0.758539795875549	2026-08-15 20:31:20.921879+00:00	iter12-nar-xgb-hpo-v8-stage1-marketfree-184	0.5048
8	2023107426	5	0.626338720321655	2026-08-15 20:31:20.921879+00:00	iter12-nar-xgb-hpo-v8-stage1-marketfree-184	0.5048
9	2023106165	1	1.025634765625	2026-08-15 20:31:20.921879+00:00	iter12-nar-xgb-hpo-v8-stage1-marketfree-184	0.5048
10	2023106692	11	-1.49919092655182	2026-08-15 20:31:20.921879+00:00	iter12-nar-xgb-hpo-v8-stage1-marketfree-184	0.5048
11	2023106347	7	0.452522039413452	2026-08-15 20:31:20.921879+00:00	iter12-nar-xgb-hpo-v8-stage1-marketfree-184	0.5048
