umaban	ketto	rank	score	generated_at	model	odds_score
1	2120250239	1	-0.82403044196831	2026-08-15 20:50:12.206073+00:00	banei-cb-v9-sim-2011	0.5048
2	2120250273	3	-0.876188863190333	2026-08-15 20:50:12.206073+00:00	banei-cb-v9-sim-2011	0.5048
3	2120250302	8	-1.01013895933973	2026-08-15 20:50:12.206073+00:00	banei-cb-v9-sim-2011	0.5048
4	2120250230	10	-1.09975087630266	2026-08-15 20:50:12.206073+00:00	banei-cb-v9-sim-2011	0.5048
5	2120250228	2	-0.830759977514777	2026-08-15 20:50:12.206073+00:00	banei-cb-v9-sim-2011	0.5048
6	2120250085	7	-1.0090983872859	2026-08-15 20:50:12.206073+00:00	banei-cb-v9-sim-2011	0.5048
7	2120250344	4	-0.909857163416364	2026-08-15 20:50:12.206073+00:00	banei-cb-v9-sim-2011	0.5048
8	2120250222	5	-0.954605672454104	2026-08-15 20:50:12.206073+00:00	banei-cb-v9-sim-2011	0.5048
9	2120250245	9	-1.01682455808961	2026-08-15 20:50:12.206073+00:00	banei-cb-v9-sim-2011	0.5048
10	2120250004	6	-0.998337191436377	2026-08-15 20:50:12.206073+00:00	banei-cb-v9-sim-2011	0.5048
