umaban	ketto	rank	score	generated_at
1	2024104520	4	0.427226681498945	2026-08-15 20:04:08.496503+00:00
2	2024106383	3	0.830856096162585	2026-08-15 20:04:08.496503+00:00
3	2024104826	10	-2.56983129406199	2026-08-15 20:04:08.496503+00:00
4	2024103699	6	-0.558479858343274	2026-08-15 20:04:08.496503+00:00
5	2024108273	1	1.27577776796895	2026-08-15 20:04:08.496503+00:00
6	2024104986	5	-0.159591877237432	2026-08-15 20:04:08.496503+00:00
7	2024105760	8	-1.70657807067305	2026-08-15 20:04:08.496503+00:00
8	2024101744	7	-0.888739053561141	2026-08-15 20:04:08.496503+00:00
9	2024105630	2	1.10978652657331	2026-08-15 20:04:08.496503+00:00
10	2024101724	9	-1.79835594738995	2026-08-15 20:04:08.496503+00:00
