umaban	ketto	rank	score	generated_at
1	2024107260	5	-0.444771794438731	2026-08-15 22:07:10.675167+00:00
2	2024106664	7	-0.86914592246232	2026-08-15 22:07:10.675167+00:00
3	2024102989	9	-1.801892651667	2026-08-15 22:07:10.675167+00:00
4	2024105671	4	-0.330756847572489	2026-08-15 22:07:10.675167+00:00
5	2024100316	8	-1.74749145812028	2026-08-15 22:07:10.675167+00:00
6	2024101296	12	-2.03908175015797	2026-08-15 22:07:10.675167+00:00
7	2024100295	3	0.0560852122370189	2026-08-15 22:07:10.675167+00:00
8	2024107186	1	1.21024611187723	2026-08-15 22:07:10.675167+00:00
9	2024100076	2	0.540053897451759	2026-08-15 22:07:10.675167+00:00
10	2024107146	6	-0.796495794710986	2026-08-15 22:07:10.675167+00:00
11	2024100813	13	-2.25544881478265	2026-08-15 22:07:10.675167+00:00
12	2024104453	11	-2.01716954156575	2026-08-15 22:07:10.675167+00:00
13	2024101755	10	-1.81257609793705	2026-08-15 22:07:10.675167+00:00
