umaban	ketto	rank	score	generated_at	model	odds_score
1	2019101552	11	-0.91236275434494	2026-08-15 20:31:24.849363+00:00	iter12-nar-xgb-hpo-v8-stage1-marketfree-184	0.5048
2	2019105251	4	-0.00475882971659303	2026-08-15 20:31:24.849363+00:00	iter12-nar-xgb-hpo-v8-stage1-marketfree-184	0.5048
3	2018105794	7	-0.510701537132263	2026-08-15 20:31:24.849363+00:00	iter12-nar-xgb-hpo-v8-stage1-marketfree-184	0.5048
4	2019102067	14	-1.91109657287598	2026-08-15 20:31:24.849363+00:00	iter12-nar-xgb-hpo-v8-stage1-marketfree-184	0.5048
5	2019109083	8	-0.832744419574738	2026-08-15 20:31:24.849363+00:00	iter12-nar-xgb-hpo-v8-stage1-marketfree-184	0.5048
6	2022102276	12	-1.04005873203278	2026-08-15 20:31:24.849363+00:00	iter12-nar-xgb-hpo-v8-stage1-marketfree-184	0.5048
7	2021105934	5	-0.170227974653244	2026-08-15 20:31:24.849363+00:00	iter12-nar-xgb-hpo-v8-stage1-marketfree-184	0.5048
8	2021103810	10	-0.908367156982422	2026-08-15 20:31:24.849363+00:00	iter12-nar-xgb-hpo-v8-stage1-marketfree-184	0.5048
9	2021103462	6	-0.477258682250977	2026-08-15 20:31:24.849363+00:00	iter12-nar-xgb-hpo-v8-stage1-marketfree-184	0.5048
10	2022103858	1	1.60467493534088	2026-08-15 20:31:24.849363+00:00	iter12-nar-xgb-hpo-v8-stage1-marketfree-184	0.5048
11	2022106481	13	-1.53055584430695	2026-08-15 20:31:24.849363+00:00	iter12-nar-xgb-hpo-v8-stage1-marketfree-184	0.5048
12	2020101596	2	0.906093537807465	2026-08-15 20:31:24.849363+00:00	iter12-nar-xgb-hpo-v8-stage1-marketfree-184	0.5048
13	2021102897	3	0.366737067699432	2026-08-15 20:31:24.849363+00:00	iter12-nar-xgb-hpo-v8-stage1-marketfree-184	0.5048
14	2022105304	9	-0.842352509498596	2026-08-15 20:31:24.849363+00:00	iter12-nar-xgb-hpo-v8-stage1-marketfree-184	0.5048
