umaban	ketto	rank	score	generated_at	model	odds_score
1	2021103091	4	0.230176910758018	2026-08-15 20:31:27.681732+00:00	iter12-nar-xgb-hpo-v8-stage1-marketfree-184	0.5048
2	2020105078	12	-0.904128730297089	2026-08-15 20:31:27.681732+00:00	iter12-nar-xgb-hpo-v8-stage1-marketfree-184	0.5048
3	2023101059	7	-0.163727462291718	2026-08-15 20:31:27.681732+00:00	iter12-nar-xgb-hpo-v8-stage1-marketfree-184	0.5048
4	2022104982	13	-1.00420236587524	2026-08-15 20:31:27.681732+00:00	iter12-nar-xgb-hpo-v8-stage1-marketfree-184	0.5048
5	2021104727	10	-0.638509690761566	2026-08-15 20:31:27.681732+00:00	iter12-nar-xgb-hpo-v8-stage1-marketfree-184	0.5048
6	2022106265	5	0.13291110098362	2026-08-15 20:31:27.681732+00:00	iter12-nar-xgb-hpo-v8-stage1-marketfree-184	0.5048
7	2019100424	11	-0.692427158355713	2026-08-15 20:31:27.681732+00:00	iter12-nar-xgb-hpo-v8-stage1-marketfree-184	0.5048
8	2022107045	9	-0.292421132326126	2026-08-15 20:31:27.681732+00:00	iter12-nar-xgb-hpo-v8-stage1-marketfree-184	0.5048
9	2023107375	3	0.505806803703308	2026-08-15 20:31:27.681732+00:00	iter12-nar-xgb-hpo-v8-stage1-marketfree-184	0.5048
10	2023103222	6	0.0495513193309307	2026-08-15 20:31:27.681732+00:00	iter12-nar-xgb-hpo-v8-stage1-marketfree-184	0.5048
11	2021102813	2	0.869261980056763	2026-08-15 20:31:27.681732+00:00	iter12-nar-xgb-hpo-v8-stage1-marketfree-184	0.5048
12	2021106688	8	-0.233817666769028	2026-08-15 20:31:27.681732+00:00	iter12-nar-xgb-hpo-v8-stage1-marketfree-184	0.5048
13	2022106077	1	0.989718198776245	2026-08-15 20:31:27.681732+00:00	iter12-nar-xgb-hpo-v8-stage1-marketfree-184	0.5048
